Open,High,Low,Close,Adj Close,Volume
750.0,754.4000244140625,744.5,746.4500122070312,744.5557250976562,5695690
747.5999755859375,752.8499755859375,744.0,750.6500244140625,748.7451171875,3557647
757.0999755859375,762.0,753.4000244140625,760.3499755859375,758.42041015625,4680089
757.0,767.0,755.2000122070312,758.3499755859375,756.4254760742188,5529485
755.9000244140625,764.0,752.25,762.9000244140625,760.9639892578125,3573368
760.0,767.1500244140625,751.7000122070312,754.4000244140625,752.4855346679688,4188267
752.0,752.9000244140625,740.25,747.3499755859375,745.4534301757812,5782119
752.5,757.7999877929688,748.2999877929688,753.5999755859375,751.6875,4475466
759.0,773.0,755.0,770.75,768.7940063476562,9810976
770.9500122070312,773.4500122070312,764.0,770.0499877929688,768.0958251953125,5621924
770.5,778.25,766.5,774.1500244140625,772.1854858398438,4239868
776.0,776.0,766.5499877929688,771.1500244140625,769.1930541992188,2913553
752.2999877929688,766.6500244140625,749.5999755859375,755.2000122070312,753.2835083007812,5554486
755.0,755.2000122070312,744.2000122070312,745.75,743.8574829101562,5815740
750.0999755859375,758.5,741.0,746.75,744.85498046875,7876163
749.0,764.0,740.0999755859375,755.4000244140625,753.4830322265625,6604465
754.0,760.0,745.0,756.2999877929688,754.3806762695312,7890992
750.5,756.0,729.0999755859375,731.7000122070312,729.8432006835938,15441543
734.7999877929688,734.7999877929688,712.0999755859375,722.9000244140625,721.0654907226562,11102486
720.0,728.5,716.0,717.25,715.4298095703125,6855673
718.0499877929688,718.6500244140625,707.1500244140625,708.9000244140625,707.1010131835938,10358450
715.0,725.5499877929688,712.0,721.1500244140625,719.3199462890625,6823345
724.0,740.8499755859375,719.2999877929688,738.5999755859375,736.7256469726562,9265839
740.5,757.0,738.6500244140625,753.7999877929688,751.8870239257812,9744349
753.0,755.0,743.5,749.2999877929688,747.3984375,7246991
747.0,757.6500244140625,738.7999877929688,740.8499755859375,738.9699096679688,6522599
741.0,757.4000244140625,739.75,755.5,753.582763671875,6064688
755.5,764.0,755.0,761.5499877929688,759.6173706054688,8309248
765.0,769.0,752.5,760.7999877929688,758.8692626953125,6429468
759.0,763.4000244140625,753.3499755859375,757.3499755859375,755.4280395507812,3572081
757.5,764.5,754.2000122070312,759.9000244140625,757.9715576171875,4239376
756.0,765.7999877929688,756.0,762.0,760.0662231445312,3967629
759.0,760.0,749.2999877929688,756.75,754.82958984375,5576110
763.7999877929688,763.7999877929688,750.5,754.4000244140625,752.4855346679688,5370460
745.7999877929688,749.0,736.2000122070312,740.25,738.3714599609375,6092036
749.5,749.5,734.4000244140625,736.0999755859375,734.23193359375,3614761
736.0,749.7000122070312,731.5,746.3499755859375,744.4559326171875,4537435
748.2000122070312,751.4500122070312,735.2000122070312,739.0499877929688,737.1744995117188,6726509
734.0999755859375,750.0,732.3499755859375,746.3499755859375,744.4559326171875,6492155
746.5,759.5999755859375,741.0,752.4000244140625,750.4906005859375,5841967
756.0,789.5,754.0,784.0499877929688,782.060302734375,12517507
784.9000244140625,789.0,778.4000244140625,786.5,784.5040893554688,12114870
798.0999755859375,819.0,795.4000244140625,798.9000244140625,796.8726196289062,19972195
795.5,806.0999755859375,792.4000244140625,802.7000122070312,800.6630249023438,6799617
804.5,809.9000244140625,787.7000122070312,798.0,795.9749145507812,7509746
800.8499755859375,805.9000244140625,795.3499755859375,800.7999877929688,798.7677612304688,4539192
798.0,799.4000244140625,782.0499877929688,787.8499755859375,785.8505859375,6926921
790.0,797.3499755859375,783.0,794.7000122070312,792.6832885742188,5903035
789.0,793.7000122070312,784.2000122070312,790.1500244140625,788.1448364257812,4909325
786.0,790.4500122070312,783.5,788.3499755859375,786.349365234375,4814443
791.0,801.0,790.0,794.4000244140625,792.384033203125,6301208
796.0,797.4500122070312,787.0,791.4000244140625,789.3916625976562,4075592
792.5,807.4500122070312,789.0999755859375,802.5999755859375,800.5631713867188,15446511
808.8499755859375,820.7000122070312,797.25,807.3499755859375,805.3011474609375,14641298
800.0,808.5499877929688,791.5,795.8499755859375,793.830322265625,6306484
795.25,799.0,772.2999877929688,795.3499755859375,793.3316040039062,7833561
792.5,796.7999877929688,786.0,788.3499755859375,786.349365234375,4359142
794.3499755859375,814.5,792.5499877929688,812.1500244140625,810.0889892578125,9043492
812.5499877929688,816.9500122070312,795.0999755859375,798.0499877929688,796.0247192382812,5184626
802.9000244140625,808.7999877929688,792.7999877929688,796.9500122070312,794.9275512695312,7715259
802.0,805.5999755859375,778.0,789.2000122070312,787.197265625,7369680
783.0,789.5,778.5,782.1500244140625,780.1651000976562,14241004
779.9000244140625,787.3499755859375,764.8499755859375,766.5499877929688,764.6046752929688,9178187
763.4000244140625,771.7000122070312,754.0,768.1500244140625,766.20068359375,6089895
771.0999755859375,781.1500244140625,770.2999877929688,779.0,777.0231323242188,5845527
774.4000244140625,784.0,771.2000122070312,782.5999755859375,780.6139526367188,3945224
782.25,794.2000122070312,776.0,778.9500122070312,776.9732666015625,5092479
790.0,790.1500244140625,774.0999755859375,777.0999755859375,775.1278686523438,6622698
781.9000244140625,785.0,776.0,781.9500122070312,779.9656372070312,4295686
782.0,793.0,779.0,787.1500244140625,785.1524658203125,4417455
788.0,799.7000122070312,785.4500122070312,797.1500244140625,795.1270751953125,5098502
799.9500122070312,804.5,793.2000122070312,794.5999755859375,792.58349609375,4381414
799.0,804.0,788.0,802.0499877929688,800.0145874023438,7157116
820.0,820.0,802.0499877929688,813.2999877929688,811.236083984375,11014585
820.0,827.0,798.5,801.6500244140625,799.6156616210938,10633732
